date,closing quotation,opening quotation,high,low,price change
2015/5/29,6.1983,6.2003,6.2027,6.1958,-0.0005
2015/6/1,6.1995,6.1984,6.201,6.1942,0.0002
2015/6/2,6.1982,6.1991,6.2003,6.1959,-0.0002
2015/6/3,6.1978,6.1933,6.1982,6.1928,-0.0001
2015/6/4,6.2011,6.1959,6.2037,6.1959,0.0005
2015/6/5,6.2034,6.201,6.21,6.201,0.0004
2015/6/8,6.2056,6.2052,6.2081,6.2019,0.0004
2015/6/9,6.2057,6.2056,6.2071,6.2042,0
2015/6/10,6.2058,6.2043,6.2071,6.2037,0
2015/6/11,6.2066,6.2058,6.2078,6.2043,0.0001
2015/6/12,6.2083,6.2057,6.2084,6.2051,0.0003
2015/6/15,6.209,6.2079,6.2107,6.2078,0.0001
2015/6/16,6.2085,6.2077,6.209,6.2062,-0.0001
2015/6/17,6.2096,6.2085,6.2104,6.2061,0.0002
2015/6/18,6.2078,6.2058,6.2097,6.2058,-0.0003
2015/6/19,6.2095,6.2076,6.2151,6.2065,0.0003
2015/6/22,6.2095,6.2095,6.2095,6.2095,0
2015/6/23,6.2068,6.2077,6.2095,6.2052,-0.0004
